,kod_pkd,opis,labels
83580,2814,"produkcja zaworów według własnych rysunków w fabrykach zewnętrznych, działalność handlowa i agencyjna, wszystko co jest ze sobą powiązane.",203
55768,2811,firma zajmuje się produkcją turbin do małych elektrowni wodnych.,200
46111,2620,firma zajmuje się produkcją joysticków.,182
16149,2370,wykańczaniem kamiennych posadzek,138
21257,1612,mechaniczną obróbką listew,62
1574,3092,produkcją akcesoriów do wózków dziecięcych.,236
47174,1622,firma zajmuje się wytwarzaniem klepek parkietowych z sosny,64
96744,2670,"fotografia i filmowanie wraz z towarzyszącą obróbką zdjęć portretowych, zdjęć krajobrazowych, zdjęć produktowych, zdjęć akcji itp.",188
108763,2712,"(18) 222 20 08, 601 155 596, 603 193 137 biuro@fphu-ekotech.com strona główna o firmie oferta projekt ue kontakt kompleksowa oferta przemysłowa zajmujemy się projektowaniem, produkcją oraz dostawą i montażem maszyn i urządzeń różnego typu. sprawdź nas! czytaj więcej 1 2 3 najwyższej jakości produkty w naszej ofercie znajdziesz produkty najwyższej jakości, spełniające wszystkie normy. gwarantujemy ich funkcjonalność oraz korzystną cenę. czytaj więcej skontaktuj się z nami zapraszamy do kontaktu z",191
2622,2599,"branża: elektrotechniczna | produkty: systemy zamknięć, złącza kablowe, szafy gazowe | usługi: produkcja systemów zamknięć, złączy kablowych, szaf gazowych",179
95554,1512,"projektowanie wnętrz i mebli. szew zadaszeń łodzi, wyposażenia, podścielenia i liny. mebli. sprzedaż różnych",58
26124,1723,produkcja zeszytów i kajetów dla studentów,76
31153,1031,firma zajmuje się produkcja chipsów ziemniaczanych o smaku sera,4
67654,2320,firma zajmuje się produkcja dachówek ogniotrwałych specjalistycznych,120
68226,2341,firma zajmuje się produkcja ceramicznych pucharów i trofeów,123
107228,1439,zlecenia szycia i robienia na drutach dla klientów. sprzedaż gotowych wyrobów szytych i dzianych. serwis maszyn do szycia dla klientów.,56
80391,3299,"farsz zwierząt, ptaków i ryb.",251
81949,1083,import i przetwarzanie surowej kawy w celu odsprzedaży.,18
88370,1626,produkcja i sprzedaż drewna opałowego. sprzedaż drewna. wyprzedaż choinek i podobnych ozdób.,68
68968,2345,firma zajmuje się produkcja ceramicznych garnków do domowego użytku,127
31723,1051,firma zajmuje się produkcja kefiru mlecznego,9
6211,3320,demontażem maszyn budowlanych (wielkogabarytowych).,261
10092,1399,produkcja filcu technicznego,42
11750,2341,produkcja porcelanowych artykułów toaletowych,123
16773,1811,całodobowym drukiem prasy o wysokiej periodyczności,80
25661,1813,składem i łamaniem tekstu dla magazynów,82
110526,1812,"najwidoczniej prowadzimy! przy zamówieniach powyżej 500zł dostawa gratis!** kontakt produkty: zaloguj 0 0,00 zł znaki bezpieczeństwa tablice i piktogramy propozycje dla dystrybutorów znaki drogowe i bezpieczeństwo ruchu usługi drogowe, malowanie poziome sprzęt ochrony przeciwpożarowej sprzęt bhp klasyfikacja tematyczna znaki na zamówienie zamów newsletter tdc bądź na bieżąco zamów bezpłatny katalog z ofertą firmy pobierz popularne kategorie znaki ewakuacyjne znaki ochrony przeciwpożarowej oznako",81
82480,1084,produkcja przypraw i sprzedaż wyrobów własnych.,19
84314,1071,sprzedaż z wózka z pączkami.,13
83925,1107,własne akcje i inne aktywa o istotnym znaczeniu dla grupy oraz inne operacje z tym związane.,31
48704,1712,"firma zajmuje się produkcja papieru przeznaczonego na tapety, bez produkcji tapet gotowych",73
43811,2445,firma zajmuje się produkcją kamieni niklowych.,152
45928,2611,firma zajmuje się produkcją układów scalonych (analogowych).,180
33047,1089,firma zajmuje się produkcja zup żurku gotowego,22
27913,2352,produkcja wapna naturalnego do wapnowania pól,130
44601,2512,firma zajmuje się produkcją metalowych bram segmentowych.,159
105652,1330,sprzedaż i haftowanie czapek i akcesoriów.,35
85872,1011,przetwórstwo i dystrybucja mięsa reniferów. sprzedaż detaliczna wyrobów z mięsa renifera.,0
15866,2370,produkcją grobowców klasycznych z kamienia,138
6766,2552,chłodzeniem selektywnym.,167
108608,3312,"about what we do why mekop contact get in touch wholesale distribution & e-commerce partnership helping brands and authorized distributors grow through sustainable wholesale relationships we partner with brands and distributors seeking structured, long-term growth across digital retail channels. partner with us learn more ""we don't just list products. we invest in them and get involved by purchasing them."" 100% authorized channels map policy compliance long-term partnership focus 3pl logistics s",253
86512,2529,"skip to primary navigation skip to content skip to primary sidebar skip to footer fornature zbiorniki paliwowe, masy bitumiczne, biogazownie o firmie produkty certyfikaty kontakt prefabrykacja i dostawa masy bitumiczne dzięki produktom fornature producenci mas bitumicznych mogą o wiele łatwiej kontrolować jakość wytwarzanych produktów. zobacz rurociągi przemysłowe na zlecenie naszych klientów wykonujemy i montujemy rurociągi technologiczne w malarniach przemysłu motoryzacyjnego. zobacz zbiorniki",162
92391,1071,"zajmuje się produkcją ciast, babeczek, makaroników itp. na zamówienie firm. ponadto w miesiącach letnich na targach/festiwalach można sprzedawać gofry bąbelkowe, lody i koktajle mleczne z food trucka.",13
99511,1413,"krawiec, sprzedaż kosmetyków (artykułów do pielęgnacji włosów i skóry) oraz produktów tradycyjnych z erytrei i etiopii (m.in. przypraw). fryzjer.",46
84587,1071,"piekarnia dla psów: wegańskie smakołyki dla psów, m.in. ciastka, ciasta, sorbety.",13
91041,2829,produkcja i sprzedaż maszyn i urządzeń dla przemysłu mechanicznego.,210
17314,1061,produkcja mąki pszennej,11
39140,1106,firma zajmuje się produkcja słodu dedykowanego piwom pszenicznym,30
38806,1103,firma zajmuje się produkcja win owocowych ekologicznych,27
93310,1611,prosta działalność w tartaku.,61
19242,1051,"branża: mleczarstwo | produkty: gołka biała, gołka wędzona, gołka ziołowa, sałaszki - serki wędzone, sałaszek - ser wędzony, klinek - ser twarogowy półtłusty, ser twarogowy półtłusty mielony 1kg, ser twarógowy półtłusty 1kg, ser twarógowy półtłusty 300g, ser twarógowy półtłusty 250g, masło, maślanka, kefir, jogurty typu greckiego 1 kg, jogurty typu greckiego 400g, śmietana 18%, śmietana 18% 200g, śmietanka 30% 180g, kulki serowe czosnkowe, kulki serowe paprykowe | usługi: produkcja mleka, przetwórstwo mleka",9
56250,2830,firma zajmuje się produkcją kombajnów do buraków.,211
23935,1813,wprowadzaniem i edycją danych do baz poligraficznych,82
57630,3020,firma zajmuje się produkcją lokomotyw górniczych.,230
18021,1071,produkcja pieczywa typu bagietka francuska,13
27478,2345,produkcja ceramicznych opakowań na oleje,127
101948,1105,"browar, produkcja żywności i wszystko co z tym związane.",29
32839,1089,firma zajmuje się produkcja suplementów na bazie guarany,22
46663,2332,produkcja ceramicznych rur do systemów nawadniania,122
80411,1020,produkcja wysokiej jakości wyrobów w oparciu o świeże surowce morskie.,3
7740,3312,"naprawą maszyn (produkcji tworzyw sztucznych, gumy).",253
48281,1627,firma zajmuje się aplikacją podkładów i gruntów na drewno,69
98644,3012,wynajem nieruchomości oraz kupno i sprzedaż udziałów.,228
93657,3299,warsztaty modelarskie.,251
44768,2522,firma zajmuje się produkcją zbiorników metalowych izolowanych do niskich temperatur.,161
15232,1091,"branża: rolnictwo | produkty: pasże dla koni, granulat z trawy | usługi: magazynowanie",23
101849,1071,"pieczenie lefsera, podpłomyka i gomme.",13
8591,2120,produkcja preparatów stosowanych w nefrologii,103
106813,3299,pakowanie prezentów usługi oraz produkcja i sprzedaż artykułów do pakowania prezentów.,251
91061,1011,produkcja wyrobów mięsnych na własnym terenie.,0
20302,2441,produkcją platyny w postaci proszku.,148
91957,1101,"spółka holdingowa, której celem jest posiadanie akcji i co się z tym naturalnie wiąże.",25
78779,2611,"badania, rozwój i komercjalizacja produktów bezpieczeństwa. branża bezpieczeństwa, elektronika i dane.",180
48688,1712,"firma zajmuje się produkcja papieru filtracyjnego w zwojach, bez gotowych filtrów",73
14878,1082,konserwowanie orzechów w cukrze,17
40196,1396,firma zajmuje się produkcja technicznych powłok tekstylnych,41
8870,1330,stosowaniem apretury ozdobnej,35
26956,2342,produkcja ceramicznych spłuczek nowoczesnych,124
8610,1320,produkcja tkanin splotu płóciennego,34
20791,1623,wytwarzaniem podestów scenicznych drewnianych,65
49078,1723,firma zajmuje się produkcja notesów klejonych z nadrukowaną liniaturą,76
25929,1722,produkcja waty z materiałów tekstylnych do celów higienicznych,75
15797,1020,"branża: ryb i owoce morza | produkty: fillety rybne (świeże i mrożone) | usługi: przetwórstwo ryb, usługi transportowe",3
16559,2370,produkcją płyt na place jogi z kamienia,138
40570,1424,firma zajmuje się produkcja kamizelek futrzanych,53
74909,3318,"firma zajmuje się naprawą statków (powietrznych, kosmicznych, wojskowych).",259
90091,2361,"pod auspicjami lub poprzez udział w spółkach zależnych i stowarzyszonych, w celu prowadzenia działalności przemysłowej, zakupu i sprzedaży technologii, licencjonowania, handlu, spedycji, importu i eksportu, doradztwa, zarządzania nieruchomościami oraz wsz",131
40910,1520,firma zajmuje się produkcja butów haute couture,59
93198,3299,"działalność warsztatu to obróbka skrawaniem, spawanie, obróbka blachy wraz z usługami towarzyszącymi oraz sprzedaż towarów z własnego punktu sprzedaży. ponadto pomagaj innym osobom z tej samej branży w zakresie doradztwa itp.",251
39310,1200,firma zajmuje się produkcja tytoniu ekspandowanego,32
105694,1413,"projektowanie i wykonywanie robót dziewiarskich i krawieckich na sprzedaż i innych rzeczy, które w naturalny sposób się z tym zbiegają.",46
32767,1089,firma zajmuje się produkcja suplementów diety w kapsułkach,22
75186,2720,firma zajmuje się produkcją pojemników do akumulatorów.,192
96152,3250,laboratorium serwisowe jest laboratorium dentystycznym do produkcji protez dentystycznych.,249
32495,1082,firma zajmuje się produkcja wyrobów bezcukrowych,17
106853,1107,"rozwój produktów wodnych dla rynku konsumenckiego i dużego gospodarstwa domowego. produkty wodne oznaczają tutaj wodę smakową, wodę gazowaną i wodę zwykłą.",31
54905,2652,firma zajmuje się produkcją mechanizmów zegarowych montowanych na płytach czołowych urządzeń.,186
23021,2223,produkcja żaluzji poziomych z tworzyw sztucznych,109
105627,1419,sprzedaż strojów kąpielowych własnego projektu.,48
10079,1396,produkcja brezentów okrętowych,41
9249,2561,produkcją temperówek do grubych ołówków.,169
15648,1811,drukowaniem codziennych magazynów gospodarczych,80
28615,2364,firma zajmuje się produkcja suchych zapraw murarskich,134
23500,1627,nanoszeniem powłok uv na wyroby drewniane,69
84967,3212,"niezależna działalność artystyczna w zakresie rzemiosła - srebro bunad, biżuteria i dodatki.",244
3841,1073,produkcja klusek francuskich gnocchi,15
83647,1083,"przetwórstwo i sprzedaż kawy oraz produktów pokrewnych. własna marka. bezpośrednio i do sprzedawców. zbiór i sprzedaż grzybów leśnych oraz produktów pokrewnych na rynek prywatny i do odbiorców detalicznych, marka własna. eksploatacja i konserwacja pomiesz",18
32656,1085,firma zajmuje się produkcja gotowych wrapów wegetariańskich,20
103889,2599,"sprawowanie zarządu w spółkach powiązanych, zarządzanie majątkiem i co z tym związane, a także poprzez posiadanie udziałów lub w inny sposób zainteresowanie się inną działalnością.",179
31214,1031,firma zajmuje się produkcja chipsów ziemniaczanych aromatyzowanych,4
30266,2410,firma zajmuje się produkcją szerokich taśm stalowych walcowanych na gorąco.,142
31857,1052,firma zajmuje się produkcja lodów śmietankowych hurtową,10
229,1081,produkcja cukru pudru organicznego,16
90999,2562,"montaż, serwis, sprzedaż i produkcja zamków, okuć, zabezpieczeń i wszystkiego co z tym związane. całodobowe usługi ochrony zamków, okuć i zabezpieczeń, a także zabezpieczenia po włamaniu w celu przywrócenia bezpieczeństwa na obrzeżach, w stanie surowym, z",170
108068,2229,"strona główna kontakt choinki stojaki lamety girlandy i baty łańcuchy galeria cennik producent choinek sztucznych łańcuchów - girland - lamet sprzedaż tylko hurtowa pl en de cz hu ro sl ru choinki zobacz stojaki zobacz firma ""toyland"" posiada ponad 30 letnią tradycje. stanowi prywatną własność ryszarda jadowskiego i zajmuje się produkcją oraz sprzedażą sztucznych choinek, łańcuchów choinkowych, girland, lamet, batów oraz wielu innych akcesorii świątecznych. produkcja odbywa się z wykorzystaniem",113
21173,2442,produkcją prętów aluminiowych do obróbki cnc.,149
59868,2060,firma zajmuje się wytwarzaniem włókien ciętych poliestrowych dla przemysłu,101
5532,1089,produkcja jogurtów roślinnych ekologicznych,22
56308,2841,firma zajmuje się produkcją maszyn wielostanowiskowych do obróbki metalu.,212
14781,1032,produkcja soków z buraków i jabłka,5
77532,3012,produkcja i sprzedaż łodzi oraz doradztwo w zakresie technologii łodziowej.,228
106635,1399,"sama wykonuję sploty dziergane, rogi do picia, igły do ??wiązania igieł oraz biżuterię z grawerem ogniowym, którą sprzedaję na targu.",42
108364,2511,"zarządzaj zgodą aby zapewnić jak najlepsze wrażenia, korzystamy z technologii, takich jak pliki cookie, do przechowywania i/lub uzyskiwania dostępu do informacji o urządzeniu. zgoda na te technologie pozwoli nam przetwarzać dane, takie jak zachowanie podczas przeglądania lub unikalne identyfikatory na tej stronie. brak wyrażenia zgody lub wycofanie zgody może niekorzystnie wpłynąć na niektóre cechy i funkcje. akceptuję odmów zobacz preferencje polityka prywatności przejdź do treści strona główna",158
90342,3299,"tworzenie i dalszy rozwój sprzętu ochronnego, takiego jak rękawice i kamizelki kuloodporne, rękawice odporne na przecięcie i przecięcie dla wszystkich rodzajów gałęzi przemysłu (policja, ochrona, gospodarka odpadami, obsługa gadów itp.), kamizelki kuloodp",251
91784,2561,"produkcja, naprawa i sprzedaż noży, sań i sami duodji/rzemiosła. mniejsze usługi/naprawy w metalu/stali, drewnie. usługi terenowe oraz produkcja ryb i mięsa.",169
15051,2841,produkcją maszyn do obróbki metalu przez skrawanie.,212
56761,2895,firma zajmuje się produkcją maszyn do suszenia papieru.,219
